Name: CCTV1, URL: http://219.145.19.189:5554/rtp/239.112.205.59:5140$1920x1080, Date: 2024-09-28, Resolution: 1920x1080, Response Time: 192 ms
Name: CCTV1, URL: http://114.236.159.169:8001/rtp/239.49.8.129:6000$1920x1080, Date: 2024-09-24, Resolution: 1920x1080, Response Time: 208 ms
Name: CCTV1, URL: http://60.179.86.91:9999/rtp/233.50.201.222:5140$1920x1080, Date: 2024-09-27, Resolution: 1920x1080, Response Time: 217 ms
Name: CCTV1, URL: http://27.11.59.255:8010/rtp/225.0.4.74:7980$1920x1080, Date: 2024-09-28, Resolution: 1920x1080, Response Time: 239 ms
Name: CCTV1, URL: http://223.10.19.222:8083/rtp/239.1.1.7:8007$1920x1080, Date: 2024-09-17, Resolution: 1920x1080, Response Time: 243 ms
Name: CCTV1, URL: http://123.112.242.18:5555/rtp/239.3.1.129:8008$1920x1080, Date: 2024-09-28, Resolution: 1920x1080, Response Time: 246 ms
Name: CCTV1, URL: http://118.81.49.40:8084/rtp/226.0.2.153:9136$1920x1080, Date: 2024-09-08, Resolution: 1920x1080, Response Time: 246 ms
Name: CCTV1, URL: http://27.11.54.45:8002/rtp/225.0.4.74:7980$1920x1080, Date: 2024-09-24, Resolution: 1920x1080, Response Time: 280 ms
Name: CCTV1, URL: http://220.192.3.239:8002/rtp/225.0.4.74:7980$1920x1080, Date: 2024-09-25, Resolution: 1920x1080, Response Time: 282 ms
Name: CCTV1, URL: http://27.11.36.55:8001/rtp/225.0.4.74:7980$1920x1080, Date: 2024-09-25, Resolution: 1920x1080, Response Time: 295 ms
Name: CCTV1, URL: http://117.63.42.152:5555/rtp/239.49.8.129:6000$1920x1080, Date: 2024-09-27, Resolution: 1920x1080, Response Time: 307 ms
Name: CCTV1, URL: http://58.32.43.123:8888/rtp/239.45.3.145:5140$1920x1080, Date: 2024-09-23, Resolution: 1920x1080, Response Time: 308 ms
Name: CCTV1, URL: http://ayolee.com:5253/rtp/239.93.0.184:5140$1920x1080, Date: 2024-06-06, Resolution: 1920x1080, Response Time: 311 ms
Name: CCTV1, URL: http://180.115.133.252:1024/rtp/239.49.8.129:6000$1920x1080, Date: 2024-09-20, Resolution: 1920x1080, Response Time: 314 ms
Name: CCTV1, URL: http://171.124.48.143:8085/rtp/226.0.2.153:9136$1920x1080, Date: 2024-09-25, Resolution: 1920x1080, Response Time: 340 ms
Name: CCTV1, URL: http://211.158.153.132:8004/rtp/225.0.4.74:7980$1920x1080, Date: 2024-09-28, Resolution: 1920x1080, Response Time: 344 ms
